Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,534.000000,536.000000,508.000000,510.000000,510.000000,108587
2019-08-05,510.000000,512.679993,461.399994,500.000000,500.000000,554222
2019-08-12,491.000000,511.760010,460.000000,485.000000,485.000000,232033
2019-08-19,487.000000,487.000000,437.750000,448.000000,448.000000,325955
2019-08-26,448.000000,468.839996,429.000000,452.000000,452.000000,399475
2019-09-02,465.000000,490.000000,447.457001,461.000000,461.000000,269228
2019-09-09,463.000000,483.509003,453.000000,474.000000,474.000000,484881
2019-09-16,475.000000,480.000000,447.221985,470.000000,470.000000,506855
2019-09-23,470.000000,475.000000,405.000000,413.000000,413.000000,462401
2019-09-30,410.000000,453.000000,408.000000,448.000000,448.000000,4853387
2019-10-07,450.000000,492.000000,432.000000,484.000000,484.000000,797804
2019-10-14,483.000000,492.000000,458.000000,470.000000,470.000000,584176
2019-10-21,465.000000,478.000000,456.000000,460.000000,460.000000,422040
2019-10-28,463.000000,471.500000,441.000000,449.000000,449.000000,122287
2019-11-04,455.000000,489.000000,442.000000,469.000000,469.000000,5693078
2019-11-11,478.000000,514.150024,460.000000,476.000000,476.000000,796145
2019-11-18,488.000000,488.000000,460.000000,465.000000,465.000000,279487
2019-11-25,471.000000,502.000000,458.000000,490.000000,490.000000,6319492
2019-12-02,500.000000,510.000000,470.000000,479.000000,479.000000,444965
2019-12-09,475.000000,499.000000,460.000000,486.000000,486.000000,1156629
2019-12-16,490.000000,512.000000,467.000000,495.000000,495.000000,494146
2019-12-23,495.000000,506.000000,472.000000,480.000000,480.000000,139351
2019-12-30,479.000000,498.000000,472.000000,484.000000,484.000000,335269
2020-01-06,479.000000,500.000000,472.000000,485.000000,485.000000,496672
2020-01-13,481.000000,526.000000,385.000000,520.000000,520.000000,1348351
2020-01-20,500.000000,534.000000,500.000000,530.000000,530.000000,5442579
2020-01-27,538.000000,538.000000,500.000000,514.000000,514.000000,383656
2020-02-03,508.000000,554.000000,504.000000,548.000000,548.000000,1462972
2020-02-10,534.000000,578.000000,534.000000,564.000000,564.000000,1642106
2020-02-17,544.000000,619.599976,544.000000,590.000000,590.000000,716425
2020-02-24,592.000000,598.000000,508.000000,526.000000,526.000000,1680789
2020-03-02,540.000000,548.499023,496.000000,518.000000,518.000000,940856
2020-03-09,492.000000,523.809998,422.000000,439.000000,439.000000,1043789
2020-03-16,434.000000,434.000000,275.000000,289.000000,289.000000,2939152
2020-03-23,297.000000,330.000000,255.000000,314.000000,314.000000,2573392
2020-03-30,322.000000,364.000000,306.000000,325.000000,325.000000,1019666
2020-04-06,327.000000,347.000000,311.000000,335.000000,335.000000,1299234
2020-04-13,335.000000,373.000000,298.299988,363.000000,363.000000,983850
2020-04-20,366.000000,390.000000,340.000000,366.000000,366.000000,612576
2020-04-27,354.000000,409.000000,351.000000,365.000000,365.000000,715922
2020-05-04,350.000000,388.000000,349.850006,384.000000,384.000000,457364
2020-05-11,370.000000,385.000000,350.000000,351.000000,351.000000,604375
2020-05-18,367.000000,424.347992,353.000000,420.000000,420.000000,435669
2020-05-25,420.000000,490.000000,400.000000,453.000000,453.000000,710939
2020-06-01,460.000000,510.000000,440.649994,510.000000,510.000000,1463541
2020-06-08,500.000000,510.000000,433.000000,461.000000,461.000000,513338
2020-06-15,430.000000,483.000000,437.375000,450.000000,450.000000,16477323
2020-06-22,460.000000,470.000000,438.000000,446.000000,446.000000,1330165
2020-06-29,463.000000,488.000000,437.559998,467.000000,467.000000,3751391
2020-07-06,481.000000,500.000000,450.000000,474.000000,474.000000,3212686
2020-07-13,479.000000,508.000000,464.000000,489.000000,489.000000,1037517
2020-07-20,484.000000,512.000000,484.000000,504.000000,504.000000,1278787
2020-07-27,488.000000,544.000000,483.000000,526.000000,526.000000,3029770
2020-08-03,526.000000,576.000000,516.000000,576.000000,576.000000,1639374
2020-08-10,564.000000,578.000000,546.000000,554.000000,554.000000,1059728
2020-08-17,556.000000,562.000000,522.000000,530.000000,530.000000,886146
2020-08-24,530.000000,580.000000,524.900024,574.000000,574.000000,2215960
2020-08-31,574.000000,579.700012,536.000000,546.000000,546.000000,1443104
2020-09-07,550.000000,566.000000,520.000000,530.000000,530.000000,1609806
2020-09-14,520.000000,568.000000,514.000000,560.000000,560.000000,1092243
2020-09-21,566.000000,567.924988,511.217010,542.000000,542.000000,991626
2020-09-28,554.000000,606.000000,515.000000,600.000000,600.000000,2072478
2020-10-05,596.000000,628.000000,586.000000,616.000000,616.000000,1628066
2020-10-12,622.000000,628.500000,580.000000,610.000000,610.000000,812519
2020-10-19,610.000000,626.000000,588.000000,594.000000,594.000000,849117
2020-10-26,570.000000,616.000000,553.831970,606.000000,606.000000,1215271
2020-11-02,612.000000,636.000000,584.000000,626.000000,626.000000,1566498
2020-11-09,632.000000,648.000000,574.000000,634.000000,634.000000,1854648
2020-11-16,640.000000,670.000000,628.000000,648.000000,648.000000,1252123
2020-11-23,650.000000,678.000000,632.000000,648.000000,648.000000,1826748
2020-11-30,620.000000,668.000000,620.000000,632.000000,632.000000,6655447
2020-12-07,626.000000,642.000000,598.059998,616.000000,616.000000,2380285
2020-12-14,620.000000,644.000000,605.465027,642.000000,642.000000,1151430
2020-12-21,620.000000,652.000000,606.000000,644.000000,644.000000,309876
2020-12-28,644.000000,678.000000,644.000000,660.000000,660.000000,642067
2021-01-04,678.000000,690.000000,655.849976,666.000000,666.000000,2157180
2021-01-11,672.000000,690.000000,626.000000,638.000000,638.000000,932878
2021-01-18,642.000000,700.000000,632.525024,678.000000,678.000000,3284793
2021-01-25,690.000000,720.000000,670.000000,688.000000,688.000000,1716121
2021-02-01,690.000000,780.000000,686.000000,764.000000,764.000000,2304122
2021-02-08,754.000000,834.000000,754.000000,816.000000,816.000000,4545677
2021-02-15,826.000000,840.000000,782.000000,824.000000,824.000000,1171701
2021-02-22,816.000000,872.000000,808.000000,848.000000,848.000000,2370499
2021-03-01,860.000000,870.000000,798.000000,802.000000,802.000000,1955611
2021-03-08,816.000000,844.000000,795.507019,840.000000,840.000000,3957219
2021-03-15,858.000000,898.000000,830.000000,856.000000,856.000000,1055853
2021-03-22,860.000000,874.000000,808.000000,826.000000,826.000000,1159017
2021-03-29,828.000000,856.000000,789.000000,810.000000,810.000000,913698
2021-04-05,810.000000,840.000000,807.000000,835.000000,835.000000,1962684
2021-04-12,803.000000,860.000000,803.000000,845.000000,845.000000,2625326
2021-04-19,844.000000,854.000000,798.245972,834.000000,834.000000,3081283
2021-04-26,845.000000,871.000000,811.000000,843.000000,843.000000,5635772
2021-05-03,843.000000,846.000000,763.000000,767.000000,767.000000,2241675
